animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
,,,516,2024-05-18 00:21:41,5,0,0,10
51615058,,2315058,516,2024-05-18 00:44:10,83,0,144000,12
51615058,,2315058,516,2024-05-18 00:53:19,60,0,143000,0
51615951,,2315951,516,2024-05-18 01:01:03,147,0,111000,22
51613934,,2313934,516,2024-05-18 01:04:37,11,0,116500,1
51613934,,2313934,516,2024-05-18 01:09:26,36,0,118000,2
51614282,,2314282,516,2024-05-18 01:35:33,135,0,121250,41
51614282,,2314282,516,2024-05-18 01:39:50,431,0,122500,322
51614282,,2314282,516,2024-05-18 01:50:06,535,0,119000,0
51613934,,2313934,516,2024-05-18 02:01:03,66,0,86500,6
51615664,,2315664,516,2024-05-18 02:05:13,38,0,116500,2
51615630,,2315630,516,2024-05-18 02:25:06,118,0,98500,10
51615630,,2315630,516,2024-05-18 02:29:06,11,0,91750,0
51615630,,2315630,516,2024-05-18 02:57:27,75,0,106500,1
51615664,,2315664,516,2024-05-18 03:08:33,56,0,116250,0
51615066,,2315066,516,2024-05-18 03:35:32,769,0,125000,0
51615664,,2315664,516,2024-05-18 03:50:54,53,0,117000,0
51614282,,2314282,516,2024-05-18 03:53:33,40,0,121500,0
51614282,,2314282,516,2024-05-18 04:10:20,19,0,118000,0
51614282,,2314282,516,2024-05-18 04:15:17,72,0,122000,0
51615066,,2315066,516,2024-05-18 04:26:52,39,0,129500,2
51614978,,2314978,516,2024-05-18 04:34:14,147,0,116000,31
51614978,,2314978,516,2024-05-18 04:48:08,23,0,116750,0
51614978,,2314978,516,2024-05-18 04:53:10,36,0,118000,0
51614978,,2314978,516,2024-05-18 05:04:09,120,0,113500,1
51614978,,2314978,516,2024-05-18 05:12:22,1165,0,112500,2
51614978,,2314978,516,2024-05-18 05:36:26,57,0,116500,1
51614978,,2314978,516,2024-05-18 05:39:55,37,0,118500,1
51615058,,2315058,516,2024-05-18 05:49:24,237,0,140500,3
51614978,,2314978,516,2024-05-18 05:55:03,17,0,114500,0
51614978,,2314978,516,2024-05-18 06:12:31,354,0,117000,2
51615664,,2315664,516,2024-05-18 06:19:32,55,0,114250,0
51615951,,2315951,516,2024-05-18 06:20:39,68,0,110500,2
51615007,,2315007,516,2024-05-18 06:22:06,184,0,119000,4
51615007,,2315007,516,2024-05-18 06:27:11,57,0,119000,0
51615664,,2315664,516,2024-05-18 06:29:26,116,0,114500,0
51615051,,2315051,516,2024-05-18 06:49:07,231,0,110000,0
51615051,,2315051,516,2024-05-18 06:55:00,192,0,111000,0
51613966,,2313966,516,2024-05-18 07:12:15,128,0,115500,0
51615051,,2315051,516,2024-05-18 07:14:35,60,0,111000,0
51615007,,2315007,516,2024-05-18 07:27:01,40,0,114500,0
51615940,,2315940,516,2024-05-18 07:58:00,429,0,116500,0
51615940,,2315940,516,2024-05-18 08:50:37,14,0,62750,0
51613966,,2313966,516,2024-05-18 08:51:08,154,0,116000,0
51613966,,2313966,516,2024-05-18 08:56:47,32,0,110000,0
51615951,,2315951,516,2024-05-18 08:59:21,49,0,108250,0
51613973,,2313973,516,2024-05-18 09:00:22,19,0,116500,0
51615051,,2315051,516,2024-05-18 09:01:28,22,0,108500,0
51615951,,2315951,516,2024-05-18 09:01:54,59,0,108500,0
51614761,,2314761,516,2024-05-18 09:02:57,826,0,119500,0
51615664,,2315664,516,2024-05-18 09:16:51,214,0,114000,9
51613973,,2313973,516,2024-05-18 09:22:11,245,0,118000,0
51613934,,2313934,516,2024-05-18 09:26:24,22,0,115000,0
51614978,,2314978,516,2024-05-18 09:27:29,248,0,115500,36
51614978,,2314978,516,2024-05-18 09:33:39,539,0,115500,255
51615051,,2315051,516,2024-05-18 09:42:58,373,0,109500,14
51613966,,2313966,516,2024-05-18 10:14:13,390,0,118000,11
51614989,,2314989,516,2024-05-18 10:21:18,297,0,110500,206
51615007,,2315007,516,2024-05-18 10:27:02,34,0,117750,6
51614978,,2314978,516,2024-05-18 10:29:22,69,0,113000,0
51614978,,2314978,516,2024-05-18 10:32:32,377,0,116500,266
51615951,,2315951,516,2024-05-18 10:38:53,523,0,107500,260
51615664,,2315664,516,2024-05-18 10:48:08,691,0,114000,440
51614761,,2314761,516,2024-05-18 11:00:18,1145,0,119500,823
51614761,,2314761,516,2024-05-18 11:21:24,681,0,118500,435
51614761,,2314761,516,2024-05-18 11:34:47,528,0,119500,390
51615940,,2315940,516,2024-05-18 11:44:02,1793,0,111500,1620
51615051,,2315051,516,2024-05-18 12:14:15,1323,0,110500,1672
51615007,,2315007,516,2024-05-18 12:36:26,2591,0,119000,2042
51615630,,2315630,516,2024-05-18 13:19:41,1356,0,104000,1242
51613973,,2313973,516,2024-05-18 13:42:31,1739,0,119000,1999
51615058,,2315058,516,2024-05-18 14:11:38,1347,0,138000,1274
51615066,,2315066,516,2024-05-18 14:34:25,770,0,125500,423
51615066,,2315066,516,2024-05-18 14:49:16,634,0,126000,410
51615066,,2315066,516,2024-05-18 15:01:52,523,0,126000,375
51615066,,2315066,516,2024-05-18 15:12:37,388,0,127500,344
51613934,,2313934,516,2024-05-18 15:19:13,995,0,113500,481
51613934,,2313934,516,2024-05-18 15:37:50,297,0,115000,380
51613934,,2313934,516,2024-05-18 15:44:49,274,0,115500,373
51613934,,2313934,516,2024-05-18 15:51:25,277,0,116000,375
51613934,,2313934,516,2024-05-18 15:58:04,228,0,116500,302
51613966,,2313966,516,2024-05-18 16:02:08,1640,0,116000,1470
51614282,,2314282,516,2024-05-18 16:29:56,1119,0,121000,1217
51614282,,2314282,516,2024-05-18 16:50:37,397,0,121500,418
51614282,,2314282,516,2024-05-18 16:59:16,360,0,121500,370
51614282,,2314282,516,2024-05-18 17:07:18,365,0,121500,319
51614282,,2314282,516,2024-05-18 17:22:23,500,0,122500,293
51615051,,2315051,516,2024-05-18 17:32:44,1150,0,114000,1437
51614989,,2314989,516,2024-05-18 17:52:45,1219,0,111000,1455
51614989,,2314989,516,2024-05-18 18:15:05,261,0,111500,159
51614761,,2314761,516,2024-05-18 18:19:37,2047,0,123500,2400
51615058,,2315058,516,2024-05-18 18:53:56,1432,0,141000,2099
51613966,,2313966,516,2024-05-18 19:17:59,959,0,119000,1194
51615940,,2315940,516,2024-05-18 19:34:18,1457,0,114000,1486
51615058,,2315058,516,2024-05-18 20:00:36,436,0,143000,564
51615058,,2315058,516,2024-05-18 20:09:53,219,0,144000,235
51615664,,2315664,516,2024-05-18 20:14:00,1013,0,113500,1508
51615664,,2315664,516,2024-05-18 20:32:55,330,0,115000,349
51615664,,2315664,516,2024-05-18 20:40:26,350,0,115000,401
51615664,,2315664,516,2024-05-18 20:48:17,42,0,90750,1
51615007,,2315007,516,2024-05-18 21:10:22,609,0,121500,430
51615007,,2315007,516,2024-05-18 21:22:33,481,0,122500,304
51615007,,2315007,516,2024-05-18 21:32:35,407,0,121500,270
51615951,,2315951,516,2024-05-18 21:39:42,177,0,107500,66
51615951,,2315951,516,2024-05-18 21:44:42,349,0,108500,186
51615951,,2315951,516,2024-05-18 21:56:11,39,0,108500,5
51615007,,2315007,516,2024-05-18 21:57:25,33,0,120500,2
51613973,,2313973,516,2024-05-18 21:59:01,249,0,121500,267
51613973,,2313973,516,2024-05-18 22:05:12,184,0,122500,353
51615664,,2315664,516,2024-05-18 22:08:59,26,0,112000,7
51615664,,2315664,516,2024-05-18 22:11:26,286,0,116500,345
51615630,,2315630,516,2024-05-18 22:16:16,115,0,106000,63
51615630,,2315630,516,2024-05-18 22:20:12,456,0,107500,351
51615058,,2315058,516,2024-05-18 22:36:06,277,0,145500,289
51615066,,2315066,516,2024-05-18 23:05:15,234,0,127500,185
51615066,,2315066,516,2024-05-18 23:11:11,644,0,129000,347
51614978,,2314978,516,2024-05-18 23:40:40,214,0,115500,90
51614978,,2314978,516,2024-05-18 23:46:16,636,0,116500,386
51614978,,2314978,516,2024-05-18 23:58:53,465,0,117500,382
